Sample in Buffer,Sample in Window,TRIGGER,design_1_i/rf_ss/rf_data_system_ila/inst/probe0_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe1_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe2_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe3_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe4_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe5_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe6_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe7_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe8_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe9_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe10_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe11_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe12_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe13_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe14_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe15_1[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED
0,0,0,3212,-3276,2028,20,-1940,3176,-3292,2124,-572,1,570,-923,924,-572,1,569
1,1,0,-72,-1948,3204,-3332,1996,-84,-1912,3252,569,-923,924,-572,1,570,-923,924
2,2,0,-3300,2028,28,-2044,3184,-3272,2008,20,924,-572,2,569,-923,924,-572,2
3,3,0,-2052,3228,-3284,2044,-100,-2012,3284,-3284,2,569,-923,924,-572,2,569,-923
4,4,0,2040,-60,-1924,3180,-3292,2060,-4,-1948,-923,925,-573,2,569,-923,925,-572
5,5,0,3192,-3300,2028,36,-1948,3268,-3300,2100,-572,3,569,-923,924,-573,3,569
6,6,0,-4,-1948,3284,-3356,1996,-76,-1920,3260,568,-923,924,-573,3,568,-922,923
7,7,0,-3288,2012,-80,-2020,3268,-3300,1984,-60,924,-573,2,569,-924,925,-574,3
8,8,0,-1952,3244,-3316,2052,-100,-2036,3196,-3348,1,571,-925,925,-573,1,571,-924
9,9,0,2036,-68,-2028,3180,-3296,2068,-20,-2032,-924,926,-573,2,570,-925,926,-573
10,10,0,3176,-3284,2060,-92,-1916,3196,-3308,2068,-573,2,570,-924,926,-573,2,570
